"
  To-Do List - Schedule Planner ","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu-P5aKGp_vkzsdmodmPaTe5oHqkJIaJR40L8zbI=s32-rw","Suleman Khan","July 9, 2022","In my perception, this is how every task/to-do app should be like. The app's interface is fairly good too, but the dark theme is too light to be called ""dark"". I appreciate that it has a statistics feature and that it separates ""today"" and ""future"" tasks in the same page unlike other popular apps. It is certainly super useful... There is swipe to mark complete, but there is no animation; it feels weird to use. The app needs some simple animation(s) to make it feel good.","185 people found this review helpful","Dairy App & Notes & Audio Editor & Voice Recorder","July 11, 2022","Hi, thanks for your feedback. Your suggestion is very good and we will evaluate it carefully. If you like this app, can you rate it 5 stars? Thank you for your support! 💗",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-Z6n226aRzQQnHQpsnCOzBkaJhUFYcbi7gQN29bg=s32-rw","Jasnan Kaur Chhabra","March 24, 2022","This is a nice app. I loved the themes. And it really helps us to manage all our tasks efficiently. We can categorize our tasks and complete it accordingly. The app also allows us to have it on our home screen so we don't open it again and again. There are also no unnecessary ads shown. But yes, there is one irritating part that the pop up for premium membership always comes up whenever I open the app. Please fix this problem. Otherwise, it is a very comfortable app. 5 stars from my side!👌","366 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu--EUBiv8-eDIfkzmH4iF_JfK89BjlADAwWjLve=s32-rw","Payal Sadia","January 18, 2022","UNWANTED ADS. The whole point of this kind of productivity apps is it helps you stay focused and organised. What's the point if in every few minutes I get an ad of game or whatever. We can't even close it. We're forced to watch the whole thing. Very poor thing to add to your such a good app. UNINSTALLING IT.","551 people found this review helpful","Dairy App & Notes & Audio Editor & Voice Recorder","January 19, 2022","Hi, Payal Sadia, thanks for your feedback. We have adjusted and optimized the ads. To keep the team alive, we had to show some ads. The pro version does not display ads, you can upgrade to the pro version. If you have any questions or suggestions, please feel free to contact us. Thanks!💗",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_pBzu2qX9nVzTLaDKnGC6INtcJ6WI3a3gUxx951w=s32-rw","Saam Roy","June 5, 2021","I've just started using the app. The software is clean and easy to use. The app doesn't show any ads but unfortunately most aesthetic flexibilities are for paid users only. I'm really looking forward to using the app everyday. I'll update this review if or when my feelings change. Update: Used it for a day. They give ads and it's annoying. I recommend switching to todoist cause it's essentially the same without constant bugging adverts.","159 people found this review helpful","Dairy App & Notes & Audio Editor & Voice Recorder","June 5, 2021","Hi Saam, Thanks for supporting us and we are sorry for Ads. We will keep working and will try to keep the Ads from interfering. At the same time, we have a team to maintain and improve the application. We have to use advertising income to support this team. Please understand that. You can also purchase VIP services to delete all ads in the app","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8KfmcHhqWdPMOw292AEkV9TtkzToXs3GW6o9YZrA=s32-rw","Michael Henze","November 18, 2022","The good: easy to use, one-time purchase option (I don't like subs, but will upgrade when necessary), it's not terribly expensive for a one time purchase, and I like the lists at the top. The bad: spammy notifications - I don't need notifications for everything, pro ads remain even though it says I'm pro, I don't like that I can't remove the sorting that shows when added, i.e. ""Today"", 11/4, etc, I like a running list that allows me to sort by my priority.","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8crLtVkcMZ6LDttROiBesnjxTM9nEI5P74Prwiaw=s32-rw","Mighty Goins","November 1, 2022","LOVE THIS APP!!! Just downloaded it and already seeing the benefits! The Widget helps me focus on what to do daily or weekly in a visual way. Customizing the repetition of lists and using the sub-tasks helps me to stay on point while breaking down everything into smaller bites. Personally recommend it for anyone who struggles with management and organization.","58 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-YkA2qh-bJjzS7ar1FMsenyYto3pLTmxnccfDEgGc=s32-rw","Pete (Artistically Autistic)","November 4, 2022","Useful app and widget but with a few draw backs stopping me from purchasing the full versions. You have to tap on the widget item circle to complete tasks, it's a small area. If you miss it, opens the app. Overall, I'm happy so far. Will decide at the end of the month to see if worth purchasing the full version.","17 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8swXYsxHRwwdoaA1f1Elq5i1pzfXMqcULVmrp8rg=s32-rw","Ariel Griffith","November 13, 2022","It's a great idea, still need to work some kinks out. I absolutely LOVE the way this app is laid out. It's super easy to use and I like that I can separate things into categories. I can put notes about where appointments are and how they went. I can get reminders the day before. All that being said, there are a few things holding me back from a 5 star and getting a premium account. I've had some issues with the app changing the time of an event. I also am unable to sync with my new device.","20 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9a48r5Z7FOf7RC9t4hM0tO9VUpzMYF4pzizE2Y8Q=s32-rw","Mics Artemia","October 1, 2022","Even if I am just using the free version and not the pro, the app is good and perfect for a busy person like me. I can keep track of my tasks because of the task tracker, it reminds you five minutes before the time that you set for the task, and it has different tas categories which you can add more if the task you are looking for is not in the options. The themes are simple and aesthetic, relaxing to look at and helps to make the tasks look more organize. Highly recommended!","410 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8KDJXGB-HWADlZm8iq96NB7gPOBhNyMeRl9nKU=s32-rw","Malki","September 6, 2022","Everything is great. It does take a bit getting used to and figuring out where everything is. One big set back is that it doesn't sync well throughout my devices. If I have the account on more than one device and switch to a different device, the account doesn't sync. Another setback is when I open the app, I always have to set it to sort it by ""due date and time."" This is needed even after I adjust something, so I need to do it literally everytime. Please fix these and I'll give it a 5 stars.","64 people found this review helpful","Dairy App & Notes & Audio Editor & Voice Recorder","September 6, 2022","Hi, thanks for your feedback. Please click the in-app sidebar - Settings - Account Sync to enable automatic sync. Then log into the same account on different devices. Thank you for your support! 🌹","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu2kStk0i4Gskqse6zoPQzD2zgaTK3kvwSApei_5=s32-rw-mo","Stanislava Pertlíková","October 6, 2022","I found the app very useful and easy to use. The only thing I dont like is that when you want to set repetitive reminder for shorter perior, such as every 2 or 3 hours, there is no time range when reminder would should active and when it should not, so it keeps reminding you even at the time you are asleep. I have contacted the developers to ask if there is such a feature and maybe missed it but after nearly 2 weeks I got no answer. Also it rings as an alarm.when I selected notification","58 people found this review helpful","Dairy App & Notes & Audio Editor & Voice Recorder","October 9, 2022","Hi, thanks for your feedback. Please click the task to enter the details page, select the time of the task, click ""Repeat"", select ""hour"", and click ""done"". Please turn on the reminder switch and set the reminder time. If you found this app useful, could you rate it 5 stars? Thanks! 🌹","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu26QJreG6Mo_6pFNiz6wZIIHah9YCGg4nVEH-Li=s32-rw-mo","Cello Chel","October 2, 2022","The app is annoying. If I'm adding the plus on my ""personal"", that means it goes to my personal. They put it in some other place and you have to search for it. The fact that you need an expensive subscription to add a picture is ridiculous. The biggest thing were the widgets. You can only add one 4x3 because you can't have one ""personal"" and one ""wishlist"" of the same size. Not worth even $5. If I have my tasks in order, don't randomize them again when I add another task. Terrible app.","83 people found this review helpful","Dairy App & Notes & Audio Editor & Voice Recorder","October 8, 2022","Hi, thanks for your feedback. Please add two different widgets and long press to change size. Click Settings in the upper right corner of the widget, select a category and save. Please click titles such as ""future"", ""today"" to hide or show tasks. If you like this app, can you rate it 5 stars? thank you for your support! 💗",""
"https://play-lh.googleusercontent.com/a-/ACNPEu80oapZhBeJO_YD1oBZ1gxVDsVYsiAw9hKqcnnhQNs=s32-rw","Katherine Edhghie Octubre","September 13, 2022","From all the schedule planners and/or to-do list apps I've used, this is so far the best and works with me well. I love how minimalistic it is with the relevant features. The only bad thing about it is the frequent ads (considering that I'm not using the pro version). Also, hoping this would be available for desktops too.","71 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_rsNfpQKD2UtxGppn1tQCBTE1FXAUMDb7jAfJY5w=s32-rw","jkkwin fics","September 7, 2022","The app's great, I like how minimalistic it is but I would add some color options to the font or anything that has to do with color to organize your stuff. Adding a Pomodoro sounds good too, but overall the app is great :)) I liked this because out of all the to-do list apps, this is the only one that has the attachment/link and notes option when making your task, it's really convenient.","80 people found this review helpful","Dairy App & Notes & Audio Editor & Voice Recorder","September 13, 2022","Hi, thanks for your feedback. Your suggestion is very good and we will evaluate it carefully. If you like this app, can you rate it 5 stars? thank you for your support! 💗","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_PjKahxSDnw9oPoSgueGx4X7IYIPDUE2AaFrrE=s32-rw","Jaemi Lehmann","September 19, 2022","If you don't buy a monthly or annual fee - DON'T BOTHER! It's very frustrating to use this app if you're trying the free trial. The app only keeps new tasks for 3 days, so if you don't do those tasks literally every day, it just deletes your work!! 3 days isn't really long enough to know how well a habit tracking app will work for you in the long run... Shouldn't offer a free trial If the app won't even keep tasks for you by the time you'd want to get around to possibly purchasing a plan!","98 people found this review helpful","Dairy App & Notes & Audio Editor & Voice Recorder","September 21, 2022","Hi, thanks for your feedback. There are many free features in the app, and you can continue to use it even without upgrading to the pro version. If you upgrade to the pro version, you can use all the advanced features. If you like this app, can you rate it 5 stars? thank you for your support! 💗",""
"https://play-lh.googleusercontent.com/a/ALm5wu3uk5AqJufEt7yPDhcMuCBYTeEuVwwvr8QjtCxm=s32-rw-mo","Stefan Kršanin","October 6, 2022","App is great but there is one very annoying bug that needs to be fixed soon. If you choose to sort your tasks manually it will rearrange all the items on the list when you exit the app and open it next time. Sometimes I spend a lot of time sorting the tasks on the list for some job and it goes all in vain when I exit the app as it rearranges them randomly.","29 people found this review helpful","Dairy App & Notes & Audio Editor & Voice Recorder","October 9, 2022","Hi, thanks for your feedback. Every time you manually drag a task, the way the tasks are sorted will be re-ordered in the manual order. You can choose how you want to sort in the upper right corner. If your issue is not resolved, please send the recording to todolist@betterapptech.com, thank you for your support! 🌹","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8QT7BAnZfb9JiF9-IXeSx3PLQsRSF2OjOB_6EVvw=s32-rw","Andy Woodruff","November 11, 2022","Today my to do list app decided to give me a persistent notification of my tasks for the day, starting at the last task of the day, and then showing me the two before it. I figured out it thought those were overdue tasks from yesterday, even though in the app they were not overdue. Swiping them individually did dismiss them. Turning off daily reminders and seeing if that breaks the rest of the app or fixes this problem.","2 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-vZtyZWg0qqsk4RTGe9i7w2_vMlOt1nPF__Q7sd9w=s32-rw","Michael Sheldrake","September 17, 2022","Your ad experience is predatory and makes one actively not want to support due to it's puzzle difficulty. That said if you combine the task view and the calendar view with the weekly along the top and ability to swipe side to side to advance days or switch to monthly to check what you've done on what days in the past quickly, then you'd have a winner. Once that's done, reply and I'll fix my score a bit and if I haven't found an app that does (Bright ToDo is so close, but has bugs) I'll buy.","10 people found this review helpful","Dairy App & Notes & Audio Editor & Voice Recorder","September 19, 2022","Hi, thanks for your feedback. Click the arrow before or after the month to switch months, and click the date on the calendar to switch days. Thank you for your support!💗",""
"https://play-lh.googleusercontent.com/a/ALm5wu3yrHtnx6crqO8OCCw5FcWQNGaqshfDTQc6Xlf5=s32-rw-mo","Mark Garic","October 29, 2022","Too aggressive in its marketing: The problem I have with this app is that I cannot evaluate it before deciding to buy. Too many ads are popping up and disrupting the flow of the application. Most useful features are blocked in the free version, no way to see how they work before you buy. For the most part, this app is nothing but a big commercial pushing you to buy the app and whatever else is being advertised. Solution: provide a free evaluation of a fully functioning app for 30 days.","3 people found this review helpful","Dairy App & Notes & Audio Editor & Voice Recorder","November 1, 2022","Hi, thanks for your feedback. You have a free 3-day trial period. During the trial period, you can go to the personal center of Google play to cancel the subscription for free. There are many free features in the app, and you can continue to use it even without upgrading to the pro version. Thank you for your support!💗",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9zZtx5yOdjMf6j6meYv93DDi8meUzOaLXRjzT5hg=s32-rw","Mr Gamer Man","September 17, 2022","So far it's a pretty good to do list but there are some problems with it. First if the name of the task in longer than like 15-20 characters it gets cut off so it should create another line for the extra characters also you can't set a reminder for a task unless it has a scheduled time for the task but sometimes you don't want it to have a specific time if these were fixed I would be extatic","6 people found this review helpful","Dairy App & Notes & Audio Editor & Voice Recorder","September 21, 2022","Hi, thanks for your feedback. Please click the task to enter the details page to view all the content. Regarding the timing of reminders, we will carefully evaluate your suggestions. If you like this app, can you rate it 5 stars? thank you for your support! 💗",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_x48EnuX5P-V9YaTRUJh855TOf6U05doYZYm40=s32-rw","Ryan Davidson","November 6, 2022","Somehow this app doesn't handle daylight savings time, so you get to adjust every single task you have, every time the time changes. In addition to being a massive PITA for users, I can't imagine how any competent developer wouldn't handle DST flawlessly, for an app that relies on timely reminders as a primary feature.","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9DP_tnidAcAh7C3SqnDjsNmvTOMhy4uEau5_va1w=s32-rw","Mashiho Risu","September 4, 2022","Great app! Just like the Mood Tracker of these same developers, it is easy to navigate and has great aesthetics. I am also interested to see a Pomodoro Timer App from the developers since they are rather good at organizing data and tracking progress of activities and all. The developers would surely make a great pomodoro app given the interfaces they have been putting out.","2 people found this review helpful","","","","Show review history"
